"","COUNTRY","YEAR","UREQS_LOW","UREQS_HIGH"
"907","Belgium","2035","955","0"
"908","Czech Republic","2035","432","1120"
"909","Finland","2035","446","560"
"910","France","2035","8300","8000"
"911","Germany","2035","1747","0"
"912","Hungary","2035","394","613"
"913","Netherlands","2035","0","0"
"914","Slovak Republic","2035","317","493"
"915","Slovenia","2035","149","179"
"916","Spain","2035","1291","NA"
"917","Sweden","2035","1200","1100"
"918","Switzerland","2035","161","195"
"919","United Kingdom","2035","1243","1873"
"920","Japan","2035","373","NA"
"921","Korea","2035","3900","3700"
"922","Argentina","2035","101","429"
"923","Romania","2035","230","480"
"924","Russia","2035","4900","7000"
"925","Canada","2035","1660","1565"
"926","Mexico","2035","220","NA"
"927","United States","2035","20319","15972"
"928","Belgium","2035","885","0"
"929","Czech Republic","2035","700","1120"
"930","Finland","2035","422","560"
"931","France","2035","7500","8000"
"932","Germany","2035","NA","0"
"933","Hungary","2035","324","613"
"934","Netherlands","2035","0","0"
"935","Slovak Republic","2035","322","493"
"936","Slovenia","2035","119","179"
"937","Spain","2035","900","NA"
"938","Sweden","2035","700","1100"
"939","Switzerland","2035","273","195"
"940","United Kingdom","2035","1070","1873"
"941","Japan","2035","NA","NA"
"942","Korea","2035","3800","3700"
"943","Argentina","2035","236","429"
"944","Romania","2035","230","480"
"945","Russia","2035","5000","7000"
"946","Canada","2035","1570","1565"
"947","Mexico","2035","408","NA"
"948","United States","2035","15687","15972"
"949","Belgium","2035","860","0"
"950","Czech Republic","2035","700","1120"
"951","Finland","2035","422","560"
"952","France","2035","7400","8000"
"953","Germany","2035","NA","0"
"954","Hungary","2035","354","613"
"955","Netherlands","2035","49","0"
"956","Slovak Republic","2035","629","493"
"957","Slovenia","2035","119","179"
"958","Spain","2035","1150","NA"
"959","Sweden","2035","600","1100"
"960","Switzerland","2035","235","195"
"961","United Kingdom","2035","1100","1873"
"962","Japan","2035","NA","NA"
"963","Korea","2035","4300","3700"
"964","Argentina","2035","188","429"
"965","Romania","2035","230","480"
"966","Russia","2035","5200","7000"
"967","Canada","2035","1121","1565"
"968","Mexico","2035","205","NA"
"969","United States","2035","13051","15972"
"970","Belgium","2035","0","0"
"971","Czech Republic","2035","725","1120"
"972","Finland","2035","690","560"
"973","France","2035","NA","8000"
"974","Germany","2035","0","0"
"975","Hungary","2035","359","613"
"976","Netherlands","2035","33","0"
"977","Slovak Republic","2035","487","493"
"978","Slovenia","2035","119","179"
"979","Spain","2035","1150","NA"
"980","Sweden","2035","600","1100"
"981","Switzerland","2035","320","195"
"982","United Kingdom","2035","1847","1873"
"983","Japan","2035","NA","NA"
"984","Korea","2035","4100","3700"
"985","Argentina","2035","199","429"
"986","Romania","2035","230","480"
"987","Russia","2035","5600","7000"
"988","Canada","2035","1440","1565"
"989","Mexico","2035","203","NA"
"990","United States","2035","14183","15972"
"991","Belgium","2035","0","0"
"992","Czech Republic","2035","725","1120"
"993","Finland","2035","510","560"
"994","France","2035","NA","8000"
"995","Germany","2035","0","0"
"996","Hungary","2035","815","613"
"997","Netherlands","2035","65","0"
"998","Slovak Republic","2035","496","493"
"999","Slovenia","2035","119","179"
"1000","Spain","2035","NA","NA"
"1001","Sweden","2035","600","1100"
"1002","Switzerland","2035","320","195"
"1003","United Kingdom","2035","2110","1873"
"1004","Japan","2035","NA","NA"
"1005","Korea","2035","3400","3700"
"1006","Argentina","2035","199","429"
"1007","Romania","2035","460","480"
"1008","Russia","2035","6700","7000"
"1009","Canada","2035","1560","1565"
"1010","Mexico","2035","396","NA"
"1011","United States","2035","13448","15972"
"1012","Belgium","2035","0","0"
"1013","Czech Republic","2035","725","1120"
"1014","Finland","2035","510","560"
"1015","France","2035","NA","8000"
"1016","Germany","2035","0","0"
"1017","Hungary","2035","613","613"
"1018","Netherlands","2035","0","0"
"1019","Slovak Republic","2035","493","493"
"1020","Slovenia","2035","119","179"
"1021","Spain","2035","NA","NA"
"1022","Sweden","2035","600","1100"
"1023","Switzerland","2035","170","195"
"1024","United Kingdom","2035","1456","1873"
"1025","Japan","2035","NA","NA"
"1026","Korea","2035","3100","3700"
"1027","Argentina","2035","199","429"
"1028","Romania","2035","460","480"
"1029","Russia","2035","6400","7000"
